Word, Definition
pinioned,Simple past tense and past participle of pinion.
circumlocution,The use of unnecessarily wordy and indirect language.
aegis,Protection:  a child whose welfare is now under the aegis of the courts. 
menses,"The monthly flow of blood and cellular debris from the uterus that begins at puberty in women and the females of other primates. In women, menses ceases at menopause. Also called catamenia."
sangfroid,"composure, self-possession or imperturbability especially when in a dangerous situation"
subsumption,The act of subsuming.
aplomb,Self-confident assurance; poise. See Synonyms at confidence.
atavistic,of the recurrence of a trait reappearing after an absence of one or more generations due to a chance recombination of genes.
antediluvian,Extremely old and antiquated. See Synonyms at old.
japery,"Jesting, joking"
adumbrate,To give a sketchy outline of.
frisson,A moment of intense excitement; a shudder:  The story's ending arouses a frisson of terror. 
farrago,"An assortment or a medley; a conglomeration: ""their special farrago of resentments”  ( William Safire). "
turpitude,Depravity; baseness.
amanuensis,One who is employed to take dictation or to copy manuscript.
brisance,The shattering effect of the sudden release of energy in an explosion.
supine,Lying on the back or having the face upward.
facsimile,"An exact copy or reproduction, as of a document."
trite,Lacking power to evoke interest through overuse or repetition; hackneyed.
caviling,Present participle of cavil.
anechoic,Neither having nor producing echoes:  an anechoic chamber. 
hieratic,Of or associated with sacred persons or offices; sacerdotal.
immanent,Existing or remaining within; inherent:  believed in a God immanent in humans. 
senescence,"The state or process of ageing, especially in humans; old age."
plexus,"A structure in the form of a network, especially of nerves, blood vessels, or lymphatics:  the cardiac plexus; the pelvic plexus. "
contretemps,An unforeseen event that disrupts the normal course of things; an inopportune occurrence.
emetic,Causing vomiting.
eminent,"Of high rank, station, or quality; noteworthy:  eminent members of the community. "
decolletage,Alternative spelling of décolletage.
fallow,Plowed but left unseeded during a growing season:  fallow farmland. 
necrotic,"Of or pertaining to necrosis, particularly of tissue."
vivisected,Simple past tense and past participle of vivisect.
suety,Resembling or characteristic of suet.
jilted,Simple past tense and past participle of jilt.
abscond,"To leave quickly and secretly and hide oneself, often to avoid arrest or prosecution."
parquet,A floor made of parquetry.
torpid,Deprived of the power of motion or feeling; benumbed.
pidgin,"A simplified form of speech that is usually a mixture of two or more languages, has a rudimentary grammar and vocabulary, is used for communication between groups speaking different languages, and is not spoken as a first or native language. Also called contact language."
peripatetic,Walking about or from place to place; traveling on foot.
miasma,"A noxious atmosphere or influence: ""The family affection, the family expectations, seemed to permeate the atmosphere . . . like a coiling miasma”  ( Louis Auchincloss). "
sulcus,"A deep, narrow furrow or groove, as in an organ or tissue."
scrofula,"A form of tuberculosis affecting the lymph nodes, especially of the neck, that is most common in children and is usually spread by unpasteurized milk from infected cows. Also called struma."
peripeteia,"A sudden change of events or reversal of circumstances, especially in a literary work."
apical,"Of, relating to, located at, or constituting an apex."
piquant,Pleasantly pungent or tart in taste; spicy.
prognathous,Having jaws that project forward to a marked degree.
concupiscent,"Amorous, lustful; feeling sexy."
somatic,"Of, relating to, or affecting the body, especially as distinguished from a body part, the mind, or the environment; corporeal or physical. See Synonyms at bodily."
jamb,"One of a pair of vertical posts or pieces that together form the sides of a door, window frame, or fireplace, for example."
grapnel,"Nautical   A small anchor with three or more flukes, especially one used for anchoring a small vessel. Also called grapple, grappling."
punctilious,Strictly attentive to minute details of form in action or conduct. See Synonyms at meticulous.
verdure,The lush greenness of flourishing vegetation.
declivity,"A downward slope, as of a hill."
unbidden,"Not invited, asked, or requested; unasked:  unbidden guests; comments unbid and unwelcome. "
commonalty,The common people as opposed to the upper classes. Also called commonality.
